,Index,country_name_UN,country_id,city_name,type,citycode,y_coord,x_coord,pop,x_coord_OSM,y_coord_OSM
224,225,Ukraine,804,Kyiv (Kiev),Capital,22765,50.445368,30.518634,2916.588,3397318,6523765
225,226,United Arab Emirates,784,Abu Zaby (Abu Dhabi),Capital,22632,24.464778,54.361781,1113.895,6051525,2810146
226,227,United Kingdom,826,London,Capital,22860,51.50853,-0.12574,10189.315,-13997,6711744
227,228,United Republic of Tanzania,834,Dodoma,Capital,22895,-6.17221,35.73947,227.762,3978499,-688420
228,229,United States of America,840,"Washington, D.C.",Capital,23174,38.89511,-77.03637,4895.968,-8575649,4706658
229,230,United States Virgin Islands,850,Charlotte Amalie,Capital,23190,18.3419,-64.9307,51.636,-7228052,2077606
230,231,Uruguay,858,Montevideo,Capital,23193,-34.83346,-56.16735,1697.731,-6252520,-4141271
231,232,Uzbekistan,860,Tashkent,Capital,23209,41.26465,69.21627,2241.461,7705119,5051456
232,233,Vanuatu,548,Port Vila,Capital,21956,-17.73381,168.32188,52.542,18737505,-2006414
233,234,Venezuela (Bolivarian Republic of),862,Caracas,Capital,23217,10.48801,-66.87919,2912.065,-7444957,1174095
234,235,Viet Nam,704,Hà Noi,Capital,22457,21.0245,105.84117,3469.706,11782185,2394800
235,236,Wallis and Futuna Islands,876,Matu-Utu,Capital,23235,-13.28163,-176.17453,1.064,-19611658,-1491926
236,237,Western Sahara,732,El Aaiún,Capital,22571,27.153164,-13.201359,262.36,-1469568,3142620
237,238,Yemen,887,Sana'a',Capital,23239,15.353115,44.20782,2833.199,4921192,1729929
238,239,Zambia,894,Lusaka,Capital,23277,-15.413374,28.277148,2078.426,3147797,-1736886
239,240,Zimbabwe,716,Harare,Capital,22513,-17.82935,31.05389,1494.66,3456903,-2017583
